id,timestamp,sender_id,message,bot_message,uc,outcome,silent,user_intent,user_timestamp_detail,bot_timestamp_detail,wait_time
1,2020-07-15,3099415966808586,"Cho e hỏi bên mình còn sản phẩm này ko ạ
https://scontent.xx.fbcdn.net/v/t1.15752-9/109868122_675328076391315_1649207026110575466_n.jpg?_nc_cat=104&_nc_sid=b96e70&_nc_oc=AQk-gtjA4ONRwzEHKOVTNGvYgrbgz2QTy2RMOyMmAHjZ8niD6IV5KFbQ-4Pvq6ZIljNrLRgKszoIXFA8k405gnaW&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=5a607d939e1391c4908697395154e233&oe=5F345495","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",1.1,other,1,query_knowledge_base,2020-07-15 01:36:20,2020-07-15 01:36:22,2.0
2,2020-07-14,2109635822411911,"B ơi
Nhà b còn kệ đựng đồ chơi đợt trc k","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",, ,0,query_knowledge_base,2020-07-14 09:38:43,2020-07-14 09:39:40,57.0
2,2020-07-14,2109635822411911,"https://scontent.xx.fbcdn.net/v/t1.15752-9/109329460_300718917861146_7922539172103880927_n.jpg?_nc_cat=102&_nc_sid=b96e70&_nc_ohc=S94COlTqMjcAX8Hmq_8&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=c3a8994649c096f38c1bef06141b1cca&oe=5F338A0C
Kệ này nè b
Hoặc kệ nào tương tự","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",, ,0,query_knowledge_base,2020-07-14 09:39:38,2020-07-14 09:39:40,2.0
2,2020-07-14,2109635822411911,"Kệ đồ chơi toyhouse b ạ
K phải kệ chữ a",Bạn vui lòng mô tả rõ mong muốn của bạn hoặc chat với nhân viên tư vấn nhé!,1.2, ,0,disagree,2020-07-14 09:40:28,2020-07-14 09:40:28,0.0
2,2020-07-14,2109635822411911,"Ôi b
Bên b dùng chatbot trả lời à
Setup buồn cười thế","Dạ, bạn vui lòng chờ trong ít phút nhân viên của shop sẽ phục vụ bạn ạ!^^",,handover_to_inbox,0,handover_to_inbox,2020-07-14 09:41:13,2020-07-14 09:41:13,0.0
3,2020-07-14,4013499692054173,/start_conversation,"Chào Huong Nguyen, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?",, ,0,start_conversation,2020-07-14 04:36:02,2020-07-14 04:36:02,0.0
3,2020-07-14,4013499692054173,Shop ơi. Shop có ghế ăn teknum ko,Bot doing sth,, ,0,query_knowledge_base,2020-07-14 04:36:21,2020-07-14 04:36:21,0.0
3,2020-07-14,4013499692054173,https://scontent.xx.fbcdn.net/v/t1.15752-9/107367992_572346516810881_1024879180551255775_n.jpg?_nc_cat=111&_nc_sid=b96e70&_nc_ohc=6RaTER8zi_oAX-hJiJn&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=1ce997d127ab606a68c2f8de8db487ea&oe=5F34227E,"Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",, ,0,send_link,2020-07-14 04:36:48,2020-07-14 04:36:50,2.0
3,2020-07-14,4013499692054173,"https://scontent.xx.fbcdn.net/v/t1.15752-9/107367992_572346516810881_1024879180551255775_n.jpg?_nc_cat=111&_nc_sid=b96e70&_nc_ohc=6RaTER8zi_oAX-hJiJn&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=1ce997d127ab606a68c2f8de8db487ea&oe=5F34227E
Ghế teknum này shop","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",, ,0,query_knowledge_base,2020-07-14 04:37:38,2020-07-14 04:37:41,3.0
3,2020-07-14,4013499692054173,"/disagree{""object_type"": null}",Bạn vui lòng mô tả rõ mong muốn của bạn hoặc chat với nhân viên tư vấn nhé!,1.2, ,0,disagree,2020-07-14 04:38:22,2020-07-14 04:38:22,0.0
3,2020-07-14,4013499692054173,"Ghế ăn dặm teknum ý shop
Kia là của mastela","Sản phẩm Ghế Ăn hãng sản xuất Mastela hiện shop đang có nơi sản xuất: *Trung Quốc*.
",, ,0,query_knowledge_base,2020-07-14 04:38:56,2020-07-14 04:38:57,1.0
3,2020-07-14,4013499692054173,"/confirm_attribute_value{""color"": ""Hồng""}",Bot doing sth,, ,0,confirm_attribute_value,2020-07-14 04:41:14,2020-07-14 04:41:14,0.0
3,2020-07-14,4013499692054173,"/confirm_attribute_value{""price"": ""NULL_1""}",Bot doing sth,, ,0,confirm_attribute_value,2020-07-14 04:41:22,2020-07-14 04:41:22,0.0
3,2020-07-14,4013499692054173,"/confirm_attribute_value{""weight"": ""NULL_1""}",Bot doing sth,, ,0,confirm_attribute_value,2020-07-14 04:41:31,2020-07-14 04:41:31,0.0
3,2020-07-14,4013499692054173,"/confirm_attribute_value{""size"": ""NULL_1""}",Bot doing sth,, ,0,confirm_attribute_value,2020-07-14 04:41:37,2020-07-14 04:41:38,1.0
3,2020-07-14,4013499692054173,"/confirm_attribute_value{""age_of_use"": ""0-36 Tháng""}",Dạ mời bạn tham khảo sản phẩm hiện có tại shop nhé!,, ,0,confirm_attribute_value,2020-07-14 04:41:48,2020-07-14 04:41:49,1.0
3,2020-07-14,4013499692054173,Thôi để mình tự tìm vậy,"Dạ, bạn vui lòng chờ trong ít phút nhân viên của shop sẽ phục vụ bạn ạ!^^",,handover_to_inbox,0,handover_to_inbox,2020-07-14 04:42:25,2020-07-14 04:42:26,1.0
4,2020-07-14,1988726177876997,B ơi,"Chào Trang Dâu, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?",1.1, ,0,greet,2020-07-14 01:18:05,2020-07-14 01:18:05,0.0
4,2020-07-14,1988726177876997,"https://scontent.xx.fbcdn.net/v/t1.15752-9/108174424_569249463765135_4018640388707231192_n.jpg?_nc_cat=102&_nc_sid=b96e70&_nc_ohc=3qImAytwVC8AX-N87Rr&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=8cfd284a13a36bcd5c9518ba0a2650fa&oe=5F31447D
Xe này bên b có ko",Sản phẩm Xe đẩy đảo chiều gấp gọn Joovy Qatta S113 hiện shop đang *còn hàng*. Mời bạn xem thông tin chi tiết sản phẩm tại link sau ạ!,,other,1,query_knowledge_base,2020-07-14 01:18:30,2020-07-14 01:18:33,3.0
5,2020-07-13,2758356020846952,"https://scontent.xx.fbcdn.net/v/t1.15752-9/107486767_3576272385733826_5621131008893083230_n.jpg?_nc_cat=108&_nc_sid=b96e70&_nc_ohc=mNHfhtIJQbUAX-COpTH&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=ad360111ffe9af8bf151ce63f7853d48&oe=5F30CA51
E ơi bảng này bnhieeu","Sản phẩm BẢNG VẼ HOLLA 2 in 1 có giá: *790,000 VND (giá gốc 1,090,000 VND)*, bạn vui lòng bấm vào sản phẩm để xem thông tin chi tiết ạ!",1.1, ,0,query_knowledge_base,2020-07-13 15:38:32,2020-07-13 15:38:34,2.0
5,2020-07-13,2758356020846952,Có kèm bảng chữ và bút không,"Sản phẩm BẢNG VẼ HOLLA 2 in 1 hiện shop đang có mức khuyến mãi: *27%*.
Bạn tham khảo các sản phẩm sau nhé ạ:",,other,1,query_knowledge_base,2020-07-13 15:40:12,2020-07-13 15:40:13,1.0
6,2020-07-13,2433459156728244,"Chào shop
Cho m hỏi bên b có
https://scontent.xx.fbcdn.net/v/t1.15752-9/107693387_280490179957607_5704287349770148412_n.jpg?_nc_cat=109&_nc_sid=b96e70&_nc_ohc=UYRrFXR8l7UAX-iPJ_e&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=8b66c1b68cc6f013a7885a2970d4edcd&oe=5F327AE3
Ghế gội đầu k ạ???","Mình chưa xác định được món đồ bạn hỏi, bạn mô tả rõ hơn giúp mình nhé!",1.2,cv_fail,1,query_knowledge_base,2020-07-13 10:50:01,2020-07-13 10:50:05,4.0
7,2020-07-13,1762057613861595,https://scontent.xx.fbcdn.net/v/t1.15752-9/109120219_914185992382239_8713342984520644159_n.jpg?_nc_cat=110&_nc_sid=b96e70&_nc_ohc=JUwgLngkcukAX_TK6iU&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=c71898e4b9ace0354a159a7aa6e19709&oe=5F30E9A8,Bạn đang tìm kiếm thông tin gì ạ?,1.1, ,0,send_link,2020-07-13 07:13:21,2020-07-13 07:13:21,0.0
