customer_message,clean_customer_message
hi,hi
mình đang tìm đồ chơi cho bé,mình đang tìm đồ chơi cho bé
mastela,mastela
Hi,hi
"/find_product_by_category{""category_id"":168}",/find_product_by_categỏ categỏ_id 168
Hi,hi
"hi
test",hi té
hi,hi
hi,hi
"shop ơi
máy này bao nhiêu ak
có bảo hành ko?",shop ơi máy này bao nhiêu à có bảo hành không
hi,hi
"Bên s có máy hút mũi gì lực k quá mạnh gây đau cho bé k ạ
Bé 6m thôi ạ",bên s có máy hút mũi gì lực không quá mình gây đau cho bé không ạ bé 6m thôi ạ
Máy hút mũi,máy hút mũi
hi,hi
xe này còn ko shop,xe này còn không shop
/buy_product,/buy_product
/show_shop_contact,/shơshop_contact
hi,hi
"B ơii
Bên b có sẵn
Bộ bàn ghế hola",bạn ơi bên bạn có sẵn bộ bàn ghế hola
Màu hồng ko ạ,màu hồng không ạ
Giá là bn vậy b,giá là bao nhiêu vậy bạn
"Ôi
Bên m bộ này đắt thế ạ",ôi bên mình bộ này đắt thế ạ
À,à
Cả bộ này là 640k ạ,cả bộ này là 640k ạ
Có sẵn luôn ko b,có sẵn luôn không bạn
hi,hi
Anh thấy shop trên tiki của mình đang bán xe đẩy aprica luxuna comfort cts red,anh thấy shop trên tiki của mình đang bán xe đẩy aprica lũna comfort cts red
hi,hi
Bên shop có bộ quây cũi cầu trượt xích đu không ạ,bên shop có bộ quây cũi cầu trượt xích đu không ạ
M muốn hỏi full bộ nha b,mình muốn hỏi full bộ nha bạn
hi,hi
"Hi shop
Rm muốn mua thảm silicon ạ",hi shop rm muốn mua thảm silicon ạ
Thảm silicon nha shop ơi,thảm silicon nha shop ơi
hi,hi
Cho em hỏi chiếc này giá bn vậy ah,cho em hỏi chiếc này giá bao nhiêu vậy ạ
hi,hi
"Gi
Giá  ạ",ghi giá ạ
hi,hi
Alo,alo
hi,hi
"B ơi
M hỏi qua shope
Cái nôi
Ship m giờ đc ko
M ở kim mã",bạn ơi mình hỏi qua shope cái nôi ship mình giờ được không mình ở kim mã
Cái màu xanh kia ko còn hả b,cái màu xanh kia không còn hả bạn
/buy_product,/buy_product
Ghế ăn bao nhiêu ?,ghế ăn bao nhiêu
"vâng loại den 7 tuổi to hơn đó ạ
Gửi về Hp mất tầm bao lâu b nhỉ",vâng loại den 7 tuổi to hơn đó ạ gửi về hp mất tầm bao lâu bạn nhỉ
"Oke bạn
Mình chọn thêm 1 cái nôi đa năng nữa",okie bạn mình chọn thảm 1 cái nôi đa năng nữa
"cước từ nhà xe bạn thanh toán khi nhận ạ
Vậy ship tận nhà cho mình nhỉ",cước từ nhà xe bạn thanh toán khi nhận ạ vậy ship tận nhà cho mình nhỉ
Hàng này mình đặt thì coa về nữa ko b,hàng này mình đặt thì coa về nữa không bạn
"Thế mình đặt mẫu 0-4 nhé
Bạn gửi xe hoàng long hộ mình
Thanh toán ck hay ntn bạn?",thế mình đặt mẫu 0-4 nhé bạn gửi xe hoàng long hộ mình thanh toán chuyển khoản hay như thế nào bạn
"❌ 0611001928974 - VietcomBank chi nhánh Ba Đình. Nguyễn Lê Thuỷ

❌ 19034987361010 - Nguyễn Lê Thuỷ
Ngân hàng Techcombank


Nội dung chuyển khoản Thái Nguyễn Tường Vy  ghi rõ Tên Facebook + số điện thoại và nhắn lại bên mình sau khi CK nhé.
Mình gởi biên lai chuyển tiền nhé",❌ 0611001928974 - vietcombank chi nhánh ba mình nguyên lê thuỷ ❌ 19034987361010 - nguyễn lê thuỷ ngân hàng vietcombank nội dung chuyển khoản thái nguyên tường vy ghi rõ tên facebook + số điện thoại và nhìn lại bên mình sau khi chuyển khoản nhé mình gởi biên lai chuyển tiền nhé
"Cám ơn bạn
Chiều mình ck nhé",cám ơn bạn chiều mình chuyển khoản nhé
"Bạn cần lăp mấy thanh và kt bao nhiêu ạ?
2 mặt 2m
1 mặt m8",bạn cần lăp mấy thanh và kích thước bao nhiêu ạ 2 mặt 2m 1 mặt m8
"18 phân
Chồi lên giường ntn",18 phân chồi lên giường như thế nào
"Cứng
Ben e có hỗ trợ lắp đặt ko",cũng bên em có hỗ trợ lắp đặt không
Phí tn vậy e,phí thế nào vậy em
Vinhomw gardenia Hàm Nghi mỹ đình,vinhomes gảenia hàm nghi mỹ đình
"có amuf cam- hồng- tím thôi ạ
Phí ship bn a",có amù cam- hồng- tím thôi ạ phí ship bao nhiêu ạ
"bạn ck mk gửi nhé
Cho m stk nha
Mau đen nha shop",bạn chuyển khoản mình gửi nhé cho mình số tài khoản nha mẫu đen nha shop
https://shopee.vn/search?keyword=gh%E1%BA%BF%20rung&shop=36371562,https //shopê vn/seảh keywỏ=gh%e1%ba%bf%20rung shop=36371562
Dạ c ơi chủ nhật bên e nghỉ,dạ chị ơi chủ nhật bên em nghỉ
dạ 1390k b ạ,dạ 1390k bạn ạ
"bạn đợi chút mk check ship
đến giờ mình vẫn k nhận đk hàng",bạn đợi chút mình check ship đến giờ mình vẫn không nhận được hàng
sr bạn bên mk nghỉ chủ nhẩ,sr bạn bên mình nghỉ chủ nhẩ
"hnay ben mk giao dk k ạ
lc nào bên b giao đến thì gọi số này để lấy đồ: 0973759404",hôm nay bên mình giao được không ạ lc nào bên bạn giao đến thì gọi số này để lấy đồ 0973759404
Mình còn bạn ơi,mình còn bạn ơi
