,conversation_id,uc5,outcome,uc4,sender_id,user_message,bot_message,created_time
0,6,,other,,1454523434857990,,https://shopee.vn/search?keyword=gi%C6%B0%E1%BB%9Dng%20c%C5%A9&shop=36371562,
1,12,,thank,uc_s4.2,1516966255001919,Nhà mình còn bán máy huý sữa like new ko ạ,,2020-08-02T01:55:10+0000
2,12,,,,1516966255001919,,mình ko còn ạ,2020-08-03T02:13:43+0000
3,40,,,,1340114976024443,Get Started,,2020-08-03T11:07:21+0000
4,40,,silence,,1340114976024443,,,2020-08-03T11:07:29+0000
5,40,,,,1340114976024443,Bao nhiêu e ơi,,2020-08-03T11:07:40+0000
6,40,,,,1340114976024443,Xe như hình đúng ko e,dạ 650k c ạ,2020-08-04T02:35:57+0000
7,40,,,,1340114976024443,Mà xe này ship dalat thì khoảng bao nhiêu tiền e nhỉ ?c ship chậm thôi ko cần nhanh đâu,,2020-08-04T02:36:39+0000
8,40,,,,1340114976024443,,,2020-08-04T02:45:27+0000
9,40,,,,1340114976024443,Giá hộp này luôn nha e,,2020-08-04T02:45:42+0000
10,40,,,,1454523434857990,,"Hộp  trang điểm #ROYS 
 Có 2 kích thước các mẹ ha: 

- KT lớn: 27.5x31.5x40.5 Giá #350K

- KT nhỏ: 22.5x22.5x32.5 Giá #450K

Ảnh thật và chi tiết sp các mẹ xem link dưới nhé : 
https://www.facebook.com/shopgauvabingo/posts/2288927451417580",
11,40,uc_s5.2,,,1340114976024443,Hỏi dùm c giá ship xe và hộp trang điểm này nha e,,2020-08-04T02:52:46+0000
12,40,,,,1340114976024443,Cả hai món hay sao e,khoảng trên dưới 150k ship đó c ạ,2020-08-04T03:01:57+0000
13,40,,,,1454523434857990,,vâng ạ,
14,40,,,,1340114976024443,"C đặt đc rồi e,cám ơn em",hoặc c đặt thử qua shopee,2020-08-04T04:21:41+0000
15,40,,,,1340114976024443,Bên đó c thấy có mã giảm giá,,2020-08-04T04:21:56+0000
16,47,,,,3090177524342672,Hi,dạ vâng ạh,2020-08-04T08:46:18+0000
17,47,,,uc_s4.1,3090177524342672,Con ghê gọi dấu k a,,2020-08-04T08:46:54+0000
18,47,,thank,,3090177524342672,Con k a,,2020-08-04T08:52:43+0000
