sentence,og_sentence,kmeans_cluster,x,y
mình ở sl thì nhận hàng thế nào bạn,Mình ở SL thì nhận hàng thế nào bạn,4,-32.703217,4.487101
kiểu chân cầu thang ý chị chọn ở chân để túi nó không leo lên,Kiểu chân cầu thang ý. C chặn ở chân để túi nó ko leo lên,2,11.69899,50.113857
là sao ạ,Là sao ạ,1,-41.206711,-69.910576
hàng của mình đi chưa ạ,Hàng của m đi chưa ạ,4,-76.41671,-4.342923
hàng của mình đi chưa bạn,Hàng của m đi chưa b,4,-76.405952,-3.83536
sao mình bận,Sag mình bận,3,19.942648,11.607247
0977527013,0977527013,5,63.191612,-30.694086
vay ạ,Vag ạ,3,16.54505,-16.386412
người ta lại chưa nhận,Người ta lại chưa nhận,2,-6.555732,43.544266
thanh s,thaz s,3,12.214232,-9.700219
bạn ở,Bạn ơ,2,-34.685791,67.147751
0988 333 832,0988.333.832,5,61.834454,-56.061123
thì thấy bt 15 lô số 12-13-14 đường số 30 khu đô thị phước long à nhà trang khánh hòa 0986889966,"Thu Thủy
BT 15, lô số 12-13-14 đường số 30, khu đô thị phước long A, nha trang, khánh hòa
0986889966",2,29.871756,51.21978
mình lấy nha bạn,M lấy nha b,4,-65.813446,-22.63201
bé 3 tuổi đi được chưa ạ,Bé 3 tuổi đi đc chưa ạ,4,-59.243988,5.301926
shop bgio nghỉ tết vậy,Shop bgio nghỉ tết vậy,0,71.814064,9.895135
ở cái này hết hàng rồi ấ,Ớ cái này hết hàng r ấ,3,-5.739719,9.76056
shop ở đâu,Shop ở đâu,2,-31.591541,59.887192
hay 1 kiểu ngồi như thế thôi ạ,Hay 1 kiểu ngồi như thế thôi ạ,1,-5.860642,-64.618492
tớ nhận được rồi bạn nhé,t nhận đc r b nhé,4,-73.020821,27.13574
tổng 695k nhé,tổng 695k nhé,0,75.042534,26.339182
tớ đặt 2 bộ như ảnh gửi nhé,t đặt 2 bộ như ảnh gửi nhé,1,-42.440105,-25.652082
cho thử bằng miệng rồi nói không,Chỉ thử bằng miệng r nói không,0,37.807777,24.204493
mình mới được biết,Mình mới đc biết,4,-63.053879,24.500889
và đồng là hôm nay,Và đúng là hnay,4,-69.424553,43.135979
và mất công đến,Và mất công đến,4,-45.12402,-15.849115
thì mình mới mấy công gửi,Thì mình mới mấy công gửi,4,-60.73296,2.780073
máy thực sự có mùi,Máy thực sự có mùi,0,72.745911,14.188885
người phễu cũng có mùi,Ngửi phễu cũng có mùi,0,47.976494,5.023191
thực sự là thử ở nhà mùi rất rõ,Thực sự là thử ở nhà mùi rất rõ,0,63.237587,48.997414
bên bạn,Bên b,1,-41.140003,-59.198494
phí sưca mình mua,Pha sưca mình mua,0,40.053574,17.132208
máy,Máy,1,-67.45565,-33.011623
không biết gắn vào đâu ạ,Ko biết gắn vào đâu ạ,2,-6.155465,17.834936
thấy cái này rời ra,Thấy cái này rời ra,1,-16.614037,-33.327843
mình ở lạng sơn nếu mình lấy thì vận chuyển thế nào bạn nhỉ,M ở Lạng Sơn nếu m lấy thì vận chuyển tnao b nhỉ,1,-18.922272,-24.848923
tư vấn giúp mình,tư vấn giúp mình,2,-24.688744,44.622166
hôm trước mình thấy bạn đăng loại nào 999 không ấy nhỉ,hôm trước mình thấy b đăng loại nào 999 k ấy nhỉ,4,-33.560589,8.505723
máy mình lúc nào cũng bình thường,máy mình lúc nào cũng bthg,1,-19.794798,-36.25864
mình vừa nước với bạn ý rồi,mình vừa nc vs bạn ý rồi,4,-53.768333,-16.578201
bạn kiểm tra giúp mình,bạn ktra giúp mình,2,-25.242817,40.34359
thanh đi quanh lại bảo đọc số giao mình lại ra 1 số không phải của mình,quanh đi quanh lại bảo đọc số giao mình lại ra 1 số k phải của mình,4,-52.224678,19.702349
lại bảo gọi mình không được,lại bảo gọi mình k đk,4,-74.400009,24.088266
cuối năm gửi fêback cho nhà gấu bí,Cuối năm gửi feedback cho nhà Gấu Bí,0,67.006668,26.013542
1 2 hôm nữa mình qua nhé,"1,2 hôm nữa mình qua nhé",4,-69.338181,-1.083614
mình ở gần nhà bạn,Mình ở gần nhà bạn,2,-35.705856,60.257004
thảm này còn khuyến mại kh ạ,Thảm này còn km kh ah,3,26.313217,-26.549162
rồi báo shop,Rồi báo shop,4,-55.086208,25.72197
kiên giang shop,Kiên giang shop,0,69.549622,13.406209
em gọi rồi chị nhé,E gọi r c nhe,4,-71.416779,-4.971969
để mình về độ đã nhé,Để mình về đo đã nhé,4,-36.642159,23.985762
0936168188,0936168188,5,68.542122,-34.286903
59 lương ngọc quyến - hoàn kiếm - hà nội,59 lương ngọc quyến - hoàn kiếm - hà nội,2,20.761568,77.556122
860k là cái tập đi đúng không ạ,860k là cái tập đi đúng ko ạ,4,-28.239561,8.841981
đó ra đã thế,Đổ ra đã thế,1,-28.099724,-53.094208
con mình bóc nguyên hộp,Còn mình bóc nguyên hộp,0,41.337437,14.562646
để chân có rồi,Để chân có rồi,4,-46.499409,7.598598
tác dụng của nó là gì nhỉ,Tác dụng của nó là gì nhỉ,3,12.449243,-28.253227
đâu,Đâu,2,26.606966,50.59481
mình không biết lắp vào đâi,M ko biết lắp vào đâi,2,-10.521718,28.168489
mình nhận được rồi,M nhận dc rồi,4,-71.987244,34.456211
anh đó gọi cho mình rồi,Anh đó gọi cho mình rùi,4,-55.460369,-9.444017
mai giao cho mình trg buổi sáng nhé mình cần gấp,Mai giao cho mình trg buổi sáng nhé mình cần gấp,2,8.650208,32.029797
vậy ạ,vậy ạ,1,-33.007156,-67.577271
giao trong hôm nay sớm cho mình nhé,giao trong hôm nay sớm cho mình nhé,4,-63.866558,44.89917
mình ở sơn la,mình ở sơn la,2,-0.352504,64.008789
cái mình lấy nè,Cái mình lấy nè,3,0.754273,-2.355855
chị đặt rồi nhé nhớ lấy đúng hươu hồng nha em,"C đặt r nhé , nhớ lấy đúng hươu hồng nha e",2,0.636031,26.713366
chị kiểm tra giúp em,C kiểm tra giúp em,2,-25.197044,40.732185
em chuyển tiền rồi đó ạ,Em chuyển tiền rùi đó ạ,4,-63.603672,7.942782
ý em là thứ 2 hay thứ mấy nhận được ạ,Ý em là thứ 2 hay thứ mấy nhận được ạ,4,-48.798401,10.194003
thứ 2 gửi nhận được ạ,Thứ 2 gửi nhận được ạ,4,-44.700871,34.796398
mai nhận được không chị,Mai nhận đk k c,4,-73.239128,33.453857
để em cần tài chính,đẻ e căn tài chính,2,-18.453264,30.303312
vậy nên mua combi ạ,Vậy nên mua combi ạ?,3,1.696691,-15.232256
shop mở cửa tới hnao ạ,shop mở cửa tới hnao ạ,0,46.555969,1.400934
tối cứ giao đi,Tối cứ giao đi,2,-13.436086,47.031784
gối là mấy giờ,Tối là mấy giờ?,2,-13.64965,20.480471
khoảng mấy giờ để mình sắp xếp người,Khoảng mấy giờ để mình sắp xếp người,2,7.47521,39.967049
chưa gửi hả shop,Chưa gửi hả shop??,4,-46.106056,5.164894
đ/c khánh 0914 634 889 sảnh căn hộ - tháp bạn - díovẻ complẽ 302 cầu giấy,"Đ/c: khánh 0914.634.889
Sảnh căn hộ - tháp B - discovery complex
302 cầu giấy",0,91.072388,24.264885
em nhờ ̀ng nhận giúp vì em không ở nhà,E nhờ ̀ng nhận giúp vì e ko ở nhà,2,-34.805779,47.27668
0344154925 chị ạ,0344154925 chị ạ,3,31.701696,-8.398767
0344154925,0344154925,5,67.357315,-45.482121
chị check giúp em,Chị check giúp e,2,-26.511074,39.652733
em 1 xúc xắc nữa nhé,E 1 xúc xắc nữa nhé,3,19.524889,2.872193
nhưng aroma thì dùng được đến mấy tuổi,Nhưng aroma thì dùng được đến mấy tuổi,2,-13.713929,22.768232
ui không ngả được ạ,Ui không ngả dc ạ,3,21.76602,20.598579
mình chọn số rồi ai,Mh chèn số rồi ai,2,-19.098608,34.028622
đăng giúp mình nha shop,Đăng giúp mình nha shop,4,-47.323654,-6.645524
mình cần tly lại 3 5 triệu có bớt ạ,"Mh cần tly lại 3,5tr có bớt ạ.",3,14.507936,-3.211007
giao bé lớn rồi không chịu dùng nữa,Giừo bé lớn r ko chịu dùng nữa,2,-12.750578,35.775906
bé dùng được 1 tgian ngắn thôi ạ,Bé dùng dc 1 tgian ngắn thôi ạ,3,-0.101042,12.107609
