sentence,og_sentence,kmeans_cluster,x,y
mình ở sl thì nhận hàng thế nào bạn,Mình ở SL thì nhận hàng thế nào bạn,4,-26.647818,59.818977
kiểu chân cầu thang ý chị chọn ở chân để túi nó không leo lên,Kiểu chân cầu thang ý. C chặn ở chân để túi nó ko leo lên,0,16.112288,2.12016
là sao ạ,Là sao ạ,4,11.041306,63.319473
hàng của mình đi chưa ạ,Hàng của m đi chưa ạ,5,46.199966,14.93335
hàng của mình đi chưa bạn,Hàng của m đi chưa b,5,16.382683,32.891167
sao mình bận,Sag mình bận,1,-27.433792,-22.810095
0977527013,0977527013,3,47.600174,-17.281336
vay ạ,Vag ạ,2,-39.752827,-40.67556
người ta lại chưa nhận,Người ta lại chưa nhận,1,-30.295012,13.878712
thanh s,thaz s,4,-8.456633,46.025269
bạn ở,Bạn ơ,1,-38.348587,16.293266
0988 333 832,0988.333.832,4,-11.502993,37.718826
thì thấy bt 15 lô số 12-13-14 đường số 30 khu đô thị phước long à nhà trang khánh hòa 0986889966,"Thu Thủy
BT 15, lô số 12-13-14 đường số 30, khu đô thị phước long A, nha trang, khánh hòa
0986889966",0,-0.730819,11.277498
mình lấy nha bạn,M lấy nha b,3,51.045246,0.057579
bé 3 tuổi đi được chưa ạ,Bé 3 tuổi đi đc chưa ạ,0,-5.920074,-15.293488
shop bgio nghỉ tết vậy,Shop bgio nghỉ tết vậy,4,-21.021765,46.214775
ở cái này hết hàng rồi ấ,Ớ cái này hết hàng r ấ,3,26.968464,-11.447498
shop ở đâu,Shop ở đâu,5,56.770988,21.051252
hay 1 kiểu ngồi như thế thôi ạ,Hay 1 kiểu ngồi như thế thôi ạ,4,-27.705755,50.259102
tớ nhận được rồi bạn nhé,t nhận đc r b nhé,1,-65.008133,-23.462408
tổng 695k nhé,tổng 695k nhé,2,-15.306148,-27.476934
tớ đặt 2 bộ như ảnh gửi nhé,t đặt 2 bộ như ảnh gửi nhé,0,-10.728349,-3.326304
